#,,"generated_by='OpenQuake engine 3.19.0', start_date='2024-05-21T13:07:23', checksum=1184076472"
site_id,event_id,gmv_PGA
0,0,9.44101E-03
1,0,9.50938E-03
2,0,9.57372E-03
3,0,9.63393E-03
4,0,9.68982E-03
5,0,9.74123E-03
6,0,9.78807E-03
7,0,9.83018E-03
8,0,9.86747E-03
9,0,9.89984E-03
10,0,9.92716E-03
11,0,9.94941E-03
12,0,9.96649E-03
13,0,9.97837E-03
14,0,9.98505E-03
15,0,9.98643E-03
16,0,9.98255E-03
17,0,9.97342E-03
18,0,9.95906E-03
19,0,9.93952E-03
20,0,9.91485E-03
21,0,9.88512E-03
22,0,9.85040E-03
23,0,9.81082E-03
24,0,9.76890E-03
25,0,9.72631E-03
26,0,9.68311E-03
27,0,9.63933E-03
28,0,9.59400E-03
29,0,9.54433E-03
30,0,9.49032E-03
31,0,9.43207E-03
32,0,9.36975E-03
33,0,9.30355E-03
34,0,9.23355E-03
35,0,9.51495E-03
36,0,9.58432E-03
37,0,9.64956E-03
38,0,9.71062E-03
39,0,9.76731E-03
40,0,9.81945E-03
41,0,9.86696E-03
42,0,9.90967E-03
43,0,9.94754E-03
44,0,9.98037E-03
45,0,1.00081E-02
46,0,1.00307E-02
47,0,1.00480E-02
48,0,1.00600E-02
49,0,1.00668E-02
50,0,1.00682E-02
51,0,1.00643E-02
52,0,1.00550E-02
53,0,1.00404E-02
54,0,1.00206E-02
55,0,9.99556E-03
56,0,9.96541E-03
57,0,9.93022E-03
58,0,9.89081E-03
59,0,9.85039E-03
60,0,9.80926E-03
61,0,9.76748E-03
62,0,9.72499E-03
63,0,9.67908E-03
64,0,9.62866E-03
65,0,9.57380E-03
66,0,9.51464E-03
67,0,9.45134E-03
68,0,9.38412E-03
69,0,9.31304E-03
70,0,9.58508E-03
71,0,9.65535E-03
72,0,9.72145E-03
73,0,9.78333E-03
74,0,9.84077E-03
75,0,9.89361E-03
76,0,9.94181E-03
77,0,9.98509E-03
78,0,1.00234E-02
79,0,1.00567E-02
80,0,1.00848E-02
81,0,1.01077E-02
82,0,1.01253E-02
83,0,1.01375E-02
84,0,1.01443E-02
85,0,1.01458E-02
86,0,1.01418E-02
87,0,1.01324E-02
88,0,1.01176E-02
89,0,1.00975E-02
90,0,1.00722E-02
91,0,1.00416E-02
92,0,1.00059E-02
93,0,9.96777E-03
94,0,9.92893E-03
95,0,9.88939E-03
96,0,9.84911E-03
97,0,9.80710E-03
98,0,9.76049E-03
99,0,9.70931E-03
100,0,9.65363E-03
101,0,9.59359E-03
102,0,9.52936E-03
103,0,9.46114E-03
104,0,9.38907E-03
105,0,9.65118E-03
106,0,9.72231E-03
107,0,9.78923E-03
108,0,9.85187E-03
109,0,9.91004E-03
110,0,9.96358E-03
111,0,1.00123E-02
112,0,1.00562E-02
113,0,1.00950E-02
114,0,1.01288E-02
115,0,1.01572E-02
116,0,1.01804E-02
117,0,1.01982E-02
118,0,1.02106E-02
119,0,1.02175E-02
120,0,1.02189E-02
121,0,1.02149E-02
122,0,1.02054E-02
123,0,1.01904E-02
124,0,1.01701E-02
125,0,1.01444E-02
126,0,1.01134E-02
127,0,1.00781E-02
128,0,1.00417E-02
129,0,1.00045E-02
130,0,9.96650E-03
131,0,9.92773E-03
132,0,9.88528E-03
133,0,9.83801E-03
134,0,9.78609E-03
135,0,9.72963E-03
136,0,9.66874E-03
137,0,9.60361E-03
138,0,9.53449E-03
139,0,9.46138E-03
140,0,9.71308E-03
141,0,9.78500E-03
142,0,9.85272E-03
143,0,9.91609E-03
144,0,9.97496E-03
145,0,1.00291E-02
146,0,1.00784E-02
147,0,1.01228E-02
148,0,1.01621E-02
149,0,1.01962E-02
150,0,1.02250E-02
151,0,1.02485E-02
152,0,1.02665E-02
153,0,1.02790E-02
154,0,1.02860E-02
155,0,1.02875E-02
156,0,1.02834E-02
157,0,1.02738E-02
158,0,1.02586E-02
159,0,1.02380E-02
160,0,1.02120E-02
161,0,1.01807E-02
162,0,1.01469E-02
163,0,1.01122E-02
164,0,1.00768E-02
165,0,1.00405E-02
166,0,1.00023E-02
167,0,9.95934E-03
168,0,9.91143E-03
169,0,9.85882E-03
170,0,9.80160E-03
171,0,9.73991E-03
172,0,9.67396E-03
173,0,9.60390E-03
174,0,9.52984E-03
175,0,9.77064E-03
176,0,9.84331E-03
177,0,9.91175E-03
178,0,9.97580E-03
179,0,1.00353E-02
180,0,1.00900E-02
