#,,"generated_by='OpenQuake engine 3.19.0', start_date='2024-05-21T13:07:23', checksum=1184076472"
site_id,lon,lat
0,107.31398,-6.93300
1,107.31398,-6.95099
2,107.31398,-6.96897
3,107.31398,-6.98696
4,107.31398,-7.00495
5,107.31398,-7.02293
6,107.31398,-7.04092
7,107.31398,-7.05890
8,107.31398,-7.07689
9,107.31398,-7.09488
10,107.31398,-7.11286
11,107.31398,-7.13085
12,107.31398,-7.14884
13,107.31398,-7.16682
14,107.31399,-7.18481
15,107.31399,-7.20280
16,107.31399,-7.22078
17,107.31399,-7.23877
18,107.31399,-7.25676
19,107.31399,-7.27474
20,107.31399,-7.29273
21,107.31399,-7.31071
22,107.31399,-7.32870
23,107.31399,-7.34669
24,107.31399,-7.36467
25,107.31399,-7.38266
26,107.31399,-7.40065
27,107.31399,-7.41863
28,107.31400,-7.43662
29,107.31400,-7.45461
30,107.31400,-7.47259
31,107.31400,-7.49058
32,107.31400,-7.50857
33,107.31400,-7.52655
34,107.31400,-7.54454
35,107.33209,-6.93300
36,107.33210,-6.95099
37,107.33210,-6.96897
38,107.33210,-6.98696
39,107.33210,-7.00495
40,107.33210,-7.02293
41,107.33210,-7.04092
42,107.33210,-7.05890
43,107.33211,-7.07689
44,107.33211,-7.09488
45,107.33211,-7.11286
46,107.33211,-7.13085
47,107.33211,-7.14884
48,107.33211,-7.16682
49,107.33211,-7.18481
50,107.33212,-7.20280
51,107.33212,-7.22078
52,107.33212,-7.23877
53,107.33212,-7.25676
54,107.33212,-7.27474
55,107.33212,-7.29273
56,107.33212,-7.31071
57,107.33213,-7.32870
58,107.33213,-7.34669
59,107.33213,-7.36467
60,107.33213,-7.38266
61,107.33213,-7.40065
62,107.33213,-7.41863
63,107.33213,-7.43662
64,107.33214,-7.45461
65,107.33214,-7.47259
66,107.33214,-7.49058
67,107.33214,-7.50857
68,107.33214,-7.52655
69,107.33214,-7.54454
70,107.35021,-6.93300
71,107.35022,-6.95099
72,107.35022,-6.96897
73,107.35022,-6.98696
74,107.35022,-7.00495
75,107.35022,-7.02293
